idx	1_A+B	1_A-B	1_A*B	1_A==B	1/2_A+B	1/2_A-B	1/2_A*B	1/2_A==B	mx_A+B	mx_A-B	mx_A*B	mx_A==B	 
65	5.94498	6.20705	12.3288	0.29622	49.1721	27.3954	48.1841	3.97164	92.1075	51.1492	89.895	7.52839	
66	6.03504	6.22586	12.615	0.29707	49.3529	27.7692	47.8529	3.983	92.3129	51.7713	89.6634	7.56127	
67	6.1783	6.29086	12.8775	0.29404	49.6146	27.525	48.305	4.03497	92.5454	51.2637	90.4029	7.54669	
68	6.20502	6.34709	13.1279	0.29838	49.3845	27.8304	48.44	3.98204	92.3217	51.4338	89.6421	7.54331	
69	6.31922	6.45081	13.405	0.30711	49.8429	27.675	48.6487	3.99335	93.1812	51.44	91.0162	7.55755	
70	6.38371	6.51954	13.6417	0.30084	50.2067	27.832	49.4325	4.00332	92.4992	52.1092	90.2871	7.99455	
71	6.46455	6.60453	13.9321	0.31002	50.2596	27.6296	48.2042	3.99834	92.6296	51.9458	90.6987	7.56121	
72	6.57551	6.71044	14.2395	0.31121	49.6792	28.5999	48.6142	4.02249	92.5725	51.6133	90.4996	7.55832	
73	6.65917	6.78877	14.658	0.30797	50.5104	27.7233	48.5816	4.00792	93.2996	51.7446	90.49	7.56497	
74	6.72955	6.86997	14.785	0.31628	50.2221	27.8433	49.2084	4.01456	93.2554	51.8263	90.3321	7.56455	
75	6.8058	6.96582	15.1758	0.31415	50.2292	27.9359	48.8721	4.03	92.8583	51.8971	90.3666	7.57711	
76	6.88591	7.02919	15.36	0.31627	49.9033	27.8829	49.0033	4.0416	92.8467	51.9225	90.7483	7.59127	
77	7.03623	7.12626	15.6667	0.3221	50.0741	27.9404	49.0221	4.02843	93.3283	51.765	91.2192	7.59002	
78	7.08494	7.26757	16.4825	0.32828	50.8846	28.1354	49.4033	4.25122	93.1409	51.8325	90.8167	7.59336	
79	7.17336	7.2984	16.61	0.33751	50.4221	28.6417	49.1979	4.03404	93.8458	52.4533	90.4242	7.60086	
80	7.23916	7.74837	16.5555	0.33045	50.4512	28.0829	49.2329	4.09124	93.7029	52.1008	91.1129	7.6104	
81	7.30459	7.49993	16.8809	0.33665	51.0871	28.1987	49.4354	4.07167	93.3083	52.0358	91.0058	7.62251	
82	7.38583	7.56626	17.2146	0.3412	50.4117	28.1517	49.7891	4.05041	93.3521	52.1767	91.2291	7.60455	
83	7.46294	7.63672	17.53	0.34206	50.51	28.1975	49.5516	4.08874	93.4942	52.0016	91.1196	7.6583	
84	7.54878	7.79249	17.85	0.34082	50.7413	28.3017	49.5321	4.05417	94.1429	52.2734	91.0912	7.62001	
85	7.66788	7.82499	18.0741	0.34833	50.7008	28.4337	49.58	4.06086	94.1467	52.3142	91.4959	7.6196	
86	7.67743	7.8783	18.4025	0.34331	51.0621	28.5188	49.6579	4.07337	93.7346	52.2942	91.4038	7.62415	
87	7.77783	7.97625	18.7079	0.35117	51.9275	28.3991	49.7667	4.06998	93.8096	52.4096	91.3371	7.63919	
88	7.88334	8.08545	19.0438	0.35167	50.99	28.4645	49.7933	4.0733	93.8929	52.3292	91.8267	7.63335	
89	7.97661	8.16795	19.3883	0.35043	51.0312	28.5196	49.9971	4.07919	94.0042	52.3533	91.5475	7.63503	
90	8.05711	8.24666	19.7351	0.35488	51.0117	29.0367	50.0488	4.07953	94.1279	53.0604	91.6071	7.74044	
91	8.13586	8.34626	20.1937	0.35791	51.6538	28.7558	51.6763	4.19456	93.9375	52.4558	91.8413	7.64913	
92	8.21415	8.41829	20.3496	0.36132	51.2396	28.6817	50.1629	4.09587	94.3425	52.5537	91.9491	7.65029	
93	8.29083	8.49582	20.6812	0.36501	51.3633	28.7109	50.7733	4.10045	95.0313	52.6671	92.2363	7.65869	
94	8.35581	8.5758	21.0533	0.47797	51.3137	28.735	50.3916	4.09835	94.5421	52.5341	92.8496	7.66046	
95	8.47666	8.7221	21.3595	0.36832	51.445	28.8229	50.4546	4.11123	94.8646	52.79	92.2408	7.73995	
96	8.56782	8.76704	21.7012	0.36835	51.5709	28.8367	50.4717	4.11917	95.345	52.695	92.7584	7.68381	
97	8.65001	8.85752	22.0696	0.37039	51.8571	28.9291	50.6225	4.11624	94.5825	52.6892	92.4154	7.67665	
98	9.14085	8.93543	22.5045	0.37919	51.7062	29.1642	51.0696	4.12373	94.7133	52.7967	92.3075	7.84333	
99	8.80208	9.02542	22.76	0.37289	51.7845	29.0287	50.7067	4.12251	95.4534	52.9621	92.5834	7.68834	
100	8.88876	9.1125	23.0754	0.38207	51.9792	29.1646	51.0408	4.12998	94.8708	52.7867	92.48	7.70626	
101	8.97084	9.21292	23.5121	0.38206	51.9492	29.1338	51.4705	4.13958	95.0133	52.9225	92.6955	7.69832	
102	9.07456	9.27754	23.7908	0.38331	52.0638	29.1683	51.0508	4.14239	95.2742	53.2292	93.0796	7.9896	
